comment,label
I love this video,safe
Amazing work,safe
Great job,safe
Excellent content,safe
Nice explanation,safe
Very helpful,safe
Thank you so much,safe
Keep it up,safe
Fantastic tutorial,safe
This is awesome,safe
Well done,safe
Brilliant work,safe
Very informative,safe
I learned a lot,safe
You are talented,safe
Superb project,safe
This helped me,safe
Nice effort,safe
Wonderful content,safe
Best tutorial ever,safe
You are stupid,toxic
You are an idiot,toxic
You are dumb,toxic
Shut up,toxic
Nobody likes you,toxic
You are useless,toxic
Go away,toxic
You are a loser,toxic
Pathetic,toxic
Moron,toxic
Clown,toxic
Trash,toxic
Garbage,toxic
Loser,toxic
You make no sense,toxic
Stop talking,toxic
You are annoying,toxic
Worst video ever,toxic
This is garbage,toxic
Your content is terrible,toxic
Buy followers now,spam
Click this link now,spam
Free giveaway here,spam
Earn money fast,spam
Visit my profile,spam
Subscribe to my channel,spam
Check my website,spam
Win an iPhone today,spam
Free gift card,spam
Limited time offer,spam
Click here to claim prize,spam
Make money online,spam
Get rich quickly,spam
Cheap products available,spam
Special discount available,spam
Congratulations you won,spam
Download now,spam
Exclusive offer,spam
Visit our page,spam
Join now for free,spam
This tutorial is amazing,safe
I really enjoyed watching this,safe
Excellent explanation,safe
Very informative video,safe
Keep up the great work,safe
Thank you for your help,safe
I learned something new today,safe
Brilliant content,safe
Fantastic project,safe
This is really helpful,safe
I appreciate your effort,safe
Well explained,safe
Your videos are always useful,safe
Great quality content,safe
I like your teaching style,safe
This solved my issue,safe
You deserve more subscribers,safe
Wonderful explanation,safe
Everything is clear now,safe
Best tutorial ever,safe
You are very talented,safe
Amazing work as always,safe
Looking forward to more videos,safe
Nice presentation,safe
You explained it perfectly,safe
Very useful information,safe
I support your work,safe
Awesome content,safe
Keep making videos,safe
You are doing a great job,safe
You are stupid,toxic
You are useless,toxic
You are an idiot,toxic
This video is garbage,toxic
Nobody cares,toxic
Worst tutorial ever,toxic
Stop posting,toxic
This is nonsense,toxic
Delete this video,toxic
Terrible explanation,toxic
You wasted my time,toxic
You make no sense,toxic
Your content is awful,toxic
Pathetic work,toxic
You are annoying,toxic
This is horrible,toxic
Absolute rubbish,toxic
Complete waste of time,toxic
You are embarrassing,toxic
Your videos are terrible,toxic
Nobody likes this,toxic
This is trash,toxic
You have no skills,toxic
Very disappointing,toxic
This is painful to watch,toxic
You failed badly,toxic
Shut up,toxic
Worst content,toxic
This is ridiculous,toxic
You should quit,toxic
Buy followers now,spam
Click this link now,spam
Free giveaway available,spam
Earn money online,spam
Visit my website,spam
Subscribe to my channel,spam
Get free followers,spam
Limited time offer,spam
Claim your prize,spam
Download this app,spam
Click here for cash,spam
Special discount today,spam
Free recharge available,spam
Visit my profile,spam
Join my Telegram,spam
Get rich fast,spam
Win an iPhone now,spam
Congratulations you won,spam
Exclusive offer,spam
Best investment opportunity,spam
Cheap products here,spam
Check this website,spam
Free gift card,spam
Make money instantly,spam
Click to earn rewards,spam
Instant cashback,spam
Limited seats available,spam
